Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
28,7,NA,2,2006
59,16,NA,2,2006
63,16,Pretty Happy,2,2006
40,16,Pretty Happy,2,2006
61,13,Very Happy,2,2006
47,12,Pretty Happy,2,2006
NA,16,Pretty Happy,2,2006
54,16,Very Happy,2,2006
47,14,NA,2,2006
47,12,Very Happy,2,2006
37,13,Pretty Happy,2,2006
25,11,Pretty Happy,2,2006
31,12,Pretty Happy,2,2006
61,18,Very Happy,2,2006
53,16,NA,2,2006
55,12,Very Happy,2,2006
52,16,NA,2,2006
40,16,NA,2,2006
51,17,Not Too Happy,2,2006
46,13,Pretty Happy,2,2006
61,18,NA,2,2006
35,14,Very Happy,2,2006
40,14,NA,2,2006
40,12,Pretty Happy,2,2006
45,12,Very Happy,2,2006
60,17,Very Happy,2,2006
74,12,Pretty Happy,2,2006
60,16,Very Happy,2,2006
61,18,Pretty Happy,2,2006
NA,14,NA,2,2006
60,14,Pretty Happy,2,2006
61,16,NA,2,2006
64,18,Very Happy,2,2006
31,10,Pretty Happy,2,2006
37,14,Very Happy,2,2006
32,12,NA,2,2006
72,14,Pretty Happy,2,2006
51,16,Very Happy,2,2006
NA,6,Very Happy,2,2006
NA,10,NA,2,2006
35,12,Pretty Happy,2,2006
28,12,Very Happy,2,2006
NA,15,Pretty Happy,2,2006
61,17,Pretty Happy,2,2006
53,14,Pretty Happy,2,2006
38,12,Very Happy,2,2006
55,14,Very Happy,2,2006
NA,12,Pretty Happy,2,2006
NA,9,NA,2,2006
46,15,Pretty Happy,2,2006
35,11,NA,2,2006
65,14,Pretty Happy,2,2006
39,16,Pretty Happy,2,2006
34,12,Pretty Happy,2,2006
47,14,Very Happy,2,2006
60,12,Pretty Happy,2,2006
25,9,NA,2,2006
31,11,Pretty Happy,2,2006
55,15,NA,2,2006
31,11,Pretty Happy,2,2006
35,15,Pretty Happy,2,2006
55,12,Pretty Happy,2,2006
47,16,Very Happy,2,2006
48,14,NA,2,2006
47,13,NA,2,2006
66,16,Very Happy,2,2006
48,13,Not Too Happy,2,2006
42,13,Pretty Happy,2,2006
54,18,Pretty Happy,2,2006
47,12,NA,2,2006
31,12,Not Too Happy,2,2006
49,14,Very Happy,2,2006
61,18,NA,2,2006
NA,5,Pretty Happy,2,2006
47,14,Pretty Happy,2,2006
64,16,Very Happy,2,2006
31,17,NA,2,2006
39,12,Pretty Happy,2,2006
46,18,Pretty Happy,2,2006
47,12,NA,2,2006
48,12,Pretty Happy,2,2006
25,0,Pretty Happy,2,2006
47,2,Not Too Happy,2,2006
50,13,NA,2,2006
48,13,Very Happy,2,2006
47,15,NA,2,2006
53,12,NA,2,2006
33,13,NA,2,2006
36,12,Pretty Happy,2,2006
61,18,Pretty Happy,2,2006
48,2,Pretty Happy,2,2006
43,19,Pretty Happy,2,2006
36,14,NA,2,2006
65,18,Pretty Happy,2,2006
32,14,Not Too Happy,2,2006
50,13,NA,2,2006
25,12,Pretty Happy,2,2006
38,12,Pretty Happy,2,2006
53,16,Pretty Happy,2,2006
NA,0,Pretty Happy,2,2006
25,12,Very Happy,2,2006
46,16,Not Too Happy,2,2006
17,12,Pretty Happy,2,2006
60,14,Pretty Happy,2,2006
50,14,Pretty Happy,2,2006
33,13,Pretty Happy,2,2006
46,12,Very Happy,2,2006
40,15,Pretty Happy,2,2006
39,15,Very Happy,2,2006
35,12,NA,2,2006
48,12,Very Happy,2,2006
64,15,Pretty Happy,2,2006
32,12,Very Happy,2,2006
61,18,Not Too Happy,2,2006
61,18,Very Happy,2,2006
45,16,Pretty Happy,2,2006
52,16,Very Happy,2,2006
61,18,NA,2,2006
31,12,Not Too Happy,2,2006
46,19,Not Too Happy,2,2006
48,16,NA,2,2006
40,15,NA,2,2006
33,12,Pretty Happy,2,2006
46,12,Pretty Happy,2,2006
51,14,Not Too Happy,2,2006
47,13,Very Happy,2,2006
58,16,Very Happy,2,2006
59,16,NA,2,2006
40,12,Very Happy,2,2006
50,16,NA,2,2006
64,15,Pretty Happy,2,2006
31,12,Pretty Happy,2,2006
47,16,Very Happy,2,2006
31,12,NA,2,2006
64,9,Pretty Happy,2,2006
37,12,NA,2,2006
59,16,NA,2,2006
47,16,Pretty Happy,2,2006
45,12,Pretty Happy,2,2006
45,17,Pretty Happy,2,2006
